DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
1,LAPTOP + SSD,Dell,LP001,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
2,LAPTOP + SSD,Dell,LP002,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
3,LAPTOP + SSD,Dell,LP003,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
4,LAPTOP + SSD,Dell,LP004,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
5,LAPTOP + SSD,Dell,LP005,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
6,LAPTOP,Dell,LP006,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
7,LAPTOP,Dell,LP007,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
8,LAPTOP,Dell,LP008,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
9,LAPTOP,Dell,LP009,2024,3,4,2,2,KURANG LAYAK,—,Perangkat Komputer
10,LAPTOP + SSD,Dell,LP010,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
11,LAPTOP,Dell,LP011,2024,3,4,2,2,KURANG LAYAK,—,Perangkat Komputer
12,LAPTOP,Dell,LP012,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
13,LAPTOP,Dell,LP015,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan / Gak ada,Perangkat Komputer
14,LAPTOP,HP,LP013,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
15,LAPTOP,HP,LP014,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
16,LAPTOP,NEW,LP016,2025,4,2,5,4,LAYAK,AL,Perangkat Komputer
17,LAPTOP,NEW,LP017,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
18,LAPTOP,NEW,LP018,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
19,LAPTOP,NEW,LP019,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
20,LAPTOP,NEW,LP020,2025,5,1,5,4,LAYAK,—,Perangkat Komputer
21,LAPTOP,Lenovo (Bekas),LP021,2023,3,4,3,3,KURANG LAYAK,Second,Perangkat Komputer
22,CHARGER LAPTOP,Dell,PRKKPLP0032023,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
23,CHARGER LAPTOP,Dell,CLP002,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
24,CHARGER LAPTOP,Dell,CLP003,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
25,CHARGER LAPTOP,Dell,CLP004,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
26,CHARGER LAPTOP,Dell,CLP005,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Aksesori Laptop
27,CHARGER LAPTOP,Dell,CLP006,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
28,CHARGER LAPTOP,Dell,PRKKPLP0042023,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
29,CHARGER LAPTOP,Dell,PRKKPLP0022023,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
30,CHARGER LAPTOP,Dell,CLP008,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
31,CHARGER LAPTOP,Dell,PRKKPLP0012023,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
32,CHARGER LAPTOP,Dell,PRKKPLP0052023,2025,5,1,5,4,LAYAK,—,Aksesori Laptop
33,CHARGER LAPTOP,Dell,CLP001,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Aksesori Laptop
34,CHARGER LAPTOP,Dell,PRKKPLP00112023,2023,2,3,2,3,KURANG LAYAK,Kabel kurang lengkap,Aksesori Laptop
35,CHARGER LAPTOP,Dell,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Aksesori Laptop
36,CHARGER LAPTOP,Dell,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Aksesori Laptop
37,CHARGER LAPTOP,Dell,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Aksesori Laptop
38,CHARGER LAPTOP,Dell,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Aksesori Laptop
